name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
ALEJO,76561198146087733,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,LBR,name:ALEJO,0,0,0,0,0,0,0,0,0,0,0,0,0
Anvil,76561198046087380,S/G,,2,3,0,3,1.2381913234889481,0,39,8,9,0,3,5,258,211.7,0,0,0,0,0,0,0,0,0,0,0,232,95.75346234981198,0.00,0.00,MOFO,name:Anvil,2180.6,0,2180.6,1090.3,0,1090.3,1,25,14,2,1,5,0
Bingus,76561198170165423,S,,3,4,1,3,1.3333333333333333,3,35,10,7,0,1,1,178,139.9,0,0,0,0,0,0,0,0,0,0,0,282,94,0.27,0.00,LBR,name:Bingus,2700,0,2700,900,0,900,1,31,4,1,0,1,0
bleh,76561198300298208,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,FOX,name:bleh,0,0,0,0,0,0,0,0,0,0,0,0,0
BOESER,76561199088950776,S,,3,6,4,2,2,12,33,8,12,2,7,5,247,177.3,0,0,0,0,0,0,0,0,0,0,0,500,166.66666666666666,2.71,0.00,LBR,name:BOESER,2700,0,2700,900,0,900,2,19,14,1,6,3,2
Bwall,76561198278689368,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:Bwall,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilliam,76561198319462482,S,,1,0,0,0,0,0,10,1,0,0,0,3,37,12.2,0,0,0,0,0,0,0,0,0,0,0,53.5,53.5,0.00,0.00,PP,name:Chilliam,900,0,900,900,0,900,1,9,1,0,0,3,0
Dan,76561199071381428,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,RR,name:Dan,0,0,0,0,0,0,0,0,0,0,0,0,0
ethswan,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,FOX,name:ethswan,0,0,0,0,0,0,0,0,0,0,0,0,0
extendo,76561198731242562,S,,1,2,0,2,1.4055911291582073,0,18,5,4,0,1,2,106,68.2,0,0,0,0,0,0,0,0,0,0,0,124,87.14665000780884,0.00,0.00,PP,name:extendo,1280.6,0,1280.6,1280.6,0,1280.6,0,15,3,0,1,2,0
