match_id,home_team_id,away_team_id,home_goals,away_goals,xg_home,xg_away,ot,away_shots,home_shots,away_passes,home_passes,away_fow,home_fow,away_fol,home_fol,away_hits,home_hits,away_takeaways,home_takeaways,away_turnovers,home_turnovers,away_exits,home_exits,away_entries,home_entries,away_touches,home_touches,away_possession_s,home_possession_s,gwg_steam_id,score_summary,shot_summary,away_blocks,home_blocks
M1-G1,CG67,RR,0,7,0.74,4.12,0,18,6,50,38,8,2,2,8,2,3,6,6,6,6,21,20,27,16,448,410,414.6308520000028,421.31133500000453,76561199749591762,P1 03:42|Blue|SiddedOn|ChiafNeef|Pyros;P1 04:24|Blue|ChiafNeef|Radioheadlover|SiddedOn;P2 08:24|Blue|Pyros|Radioheadlover|Zen;P2 08:35|Blue|ChiafNeef|Radioheadlover|Pyros;P3 10:48|Blue|ChiafNeef|SiddedOn|Radioheadlover;P3 13:02|Blue|Radioheadlover|ChiafNeef|SiddedOn;P3 13:10|Blue|ChiafNeef|Radioheadlover|,P1 - 0:11|Blue|76561199014254328|shot|one_timer|259|36.68|2.4|1.1|31|S;P1 - 1:17|Blue|76561199749591762|shot|shot|94|36.17|0.2|-17.6|17.4|S;P1 - 1:38|Red|76561198095080755|shot|shot|107|37.51|0.1|19.6|25.3|S;P1 - 2:54|Blue|76561199014254328|shot|deke|356|32.75|0.7|0.8|34.4|S;P1 - 3:41|Blue|76561199749591762|shot|deke|312|38.43|0.8|1.7|33.1|G;P1 - 4:24|Blue|76561198365208664|shot|deke|334|24.52|1.2|-2.1|35.2|G;P1 - 4:33|Blue|76561198116230416|shot|shot|180|41.29|0.1|-7.8|27.2|S;P2 - 0:42|Blue|76561199014254328|shot|shot|143|35|1.1|12.1|27.6|S;P2 - 1:26|Blue|76561199014254328|shot|shot|266|31.49|0.6|-4.4|35|S;P2 - 2:19|Blue|76561198116230416|shot|shot|89|14.51|0.1|-18.3|28.9|S;P2 - 3:12|Red|76561199027789459|shot|shot|107|25.5|0.1|17.8|32.6|S;P2 - 3:24|Blue|76561198116230416|shot|shot|309|36|0.9|2.9|34.1|G;P2 - 3:35|Blue|76561198365208664|shot|one_timer|400|13.71|0.5|-0.6|36|G;P2 - 4:36|Blue|76561198116230416|shot|wrap_bank|321|4.28|0.1|-2.6|41.6|S;P2 - 4:58|Blue|76561199014254328|shot|shot|105|14.64|1.9|12.2|25.4|S;P3 - 0:48|Blue|76561198365208664|shot|shot|261|38.3|1.5|4.3|32.9|G;P3 - 1:35|Blue|76561198116230416|shot|shot|214|20.42|0.6|0.4|30.7|S;P3 - 3:02|Blue|76561199014254328|shot|deke|315|18.61|1.5|-2.8|36.1|G;P3 - 3:09|Blue|76561198365208664|shot|shot|167|19.34|0.5|-7.6|33.2|G;P3 - 3:28|Red|76561199027789459|shot|shot|230|21.55|0.3|-2.2|31.9|S;P3 - 4:15|Red|76561199027789459|shot|shot|144|40.24|0.5|9.9|23.1|S;P3 - 4:26|Red|76561198981139688|shot|shot|40|38.09|0.1|-14.9|-10.2|S;P3 - 4:48|Red|76561198981139688|shot|shot|109|37.04|3.3|-18.9|24.9|S,4,1
M1-G2,CG67,RR,0,1,1.10,2.13,0,12,9,33,34,1,2,3,2,0,1,6,4,4,6,20,15,19,15,405,389,453.942093000003,402.8936250000024,76561198365208664,P3 14:59|Blue|ChiafNeef|Zen|Radioheadlover,P1 - 1:03|Blue|76561199749591762|shot|shot|104|38.69|3|-20.1|23.4|S;P1 - 2:30|Red|76561199027789459|shot|shot|99|22.23|0.1|-12.9|20.9|S;P1 - 2:59|Red|76561198095080755|shot|shot|168|34.81|1.9|-9.7|30.2|S;P1 - 3:03|Red|76561198034215852|shot|shot|99|31.1|0.7|-19.2|24.5|S;P1 - 3:25|Blue|76561198365208664|shot|wrap_bank|310|6.83|0.6|-0.4|44.6|S;P1 - 4:44|Red|76561198034215852|shot|shot|127|38.63|0.2|16.8|28.4|S;P2 - 0:06|Blue|76561198365208664|shot|shot|167|40.5|2|-3|23.1|S;P2 - 1:59|Blue|76561199014254328|shot|shot|257|17.99|0.1|3.5|38.2|S;P2 - 2:08|Blue|76561199014254328|shot|deke|236|39.92|1.2|5.9|37.1|S;P2 - 2:20|Red|76561198095080755|shot|shot|179|21.97|0.5|-2.2|28.3|S;P2 - 2:44|Blue|76561199749591762|shot|shot|35|34.44|0.1|-8.2|-14.1|S;P2 - 3:43|Red|76561198095080755|shot|shot|110|35.08|0.1|-18.9|27|S;P2 - 4:06|Blue|76561198116230416|shot|shot|176|38.83|1.1|4.6|25.2|S;P2 - 4:50|Red|76561198981139688|shot|shot|220|30.12|0.8|-4.2|31.3|S;P3 - 1:39|Blue|76561199749591762|shot|shot|135|39.24|1.4|12.1|23.3|S;P3 - 2:46|Red|76561198034215852|shot|shot|96|37.53|0.1|18.3|18.2|S;P3 - 3:43|Blue|76561199014254328|shot|shot|215|7.97|0.5|-3.5|33.9|S;P3 - 4:58|Blue|76561198365208664|shot|deke|207|20.28|0.5|5.5|36.3|S;P3 - 4:59|Blue|76561198365208664|shot|rebound|293|||2.7|38.1|G,1,1
M1-G3,CG67,RR,1,2,0.47,1.07,0,6,2,25,35,3,3,3,3,4,1,12,5,5,12,14,12,14,18,379,431,393.08979800000185,454.387364000003,76561199014254328,P1 01:31|Blue|Radioheadlover|SiddedOn|Nem;P1 03:30|Blue|Radioheadlover|Zen|SiddedOn;P3 13:55|Red|ElitestPeggerson|carl|OVO,P1 - 0:25|Blue|76561198011028796|shot|shot|170|34.4|0.8|3.7|25.2|S;P1 - 1:31|Blue|76561199014254328|shot|deke|365|39.15|1.1|-2.5|35.2|G;P1 - 1:42|Blue|76561199749591762|shot|shot|163|39.88|1.2|-6.8|24.3|S;P1 - 3:19|Red|76561199027789459|shot|shot|184|38.47|1|9.4|32.2|S;P1 - 3:30|Blue|76561199014254328|shot|shot|133|15.03|1.1|8.7|28.5|G;P1 - 3:51|Blue|76561199014254328|shot|shot|224|34.08|0.1|5|31.6|S;P2 - 1:28|Blue|76561199749591762|shot|shot|20|9.01||6.4|-20.7|S;P3 - 3:55|Red|76561198034215852|bat|shot|283|26.79|0.3|3.5|35|G,1,1
M2-G1,BRG,FOX,1,0,0.64,2.18,0,7,3,34,37,1,2,3,2,5,2,5,5,5,5,18,18,18,12,339,347,420.46248100000037,395.54677999999706,76561198167026110,P1 04:57|Red|VanHiggy|SoCanadian|Jarry,P1 - 3:26|Red|76561199223944519|shot|shot|107|29.22|2.7|7.5|17.2|S;P1 - 4:37|Red|76561198167026110|shot|deke|293|26.62|0.3|0.7|33.3|S;P1 - 4:56|Red|76561198167026110|shot|shot|239|25.22|0.4|0.1|31.4|G;P2 - 0:56|Blue|76561199349727090|shot|deke|373|28.15|1|0.2|34.9|S;P2 - 3:15|Blue|76561199349727090|shot|shot|197|14.48|0.5|2.7|31.2|S;P3 - 0:18|Blue|76561199088950776|shot|one_timer|703|19.12|0.1|-0.3|37.9|S;P3 - 0:43|Blue|76561199088950776|shot|shot|276|27.69|1|0|32.6|S;P3 - 1:52|Blue|76561199349727090|shot|shot|240|39.08|0.8|-3.1|30.3|S;P3 - 2:22|Blue|76561198987362385|shot|shot|171|26.4|1.4|-7.6|37.3|S;P3 - 4:19|Blue|76561199349727090|shot|shot|221|39.53|1.1|7.1|34|S,1,2
M2-G2,BRG,FOX,1,0,0.75,1.18,0,5,5,47,40,0,4,4,0,2,3,6,2,2,6,14,5,15,18,331,334,433.37619199999847,383.675106999997,76561198143149955,P2 05:53|Red|SoCanadian|DP|FORD,P1 - 1:20|Blue|76561198299335773|shot|deke|350|24.29|1.1|-2.2|35.7|S;P1 - 2:57|Red|76561198167026110|shot|shot|81|36.28|0.1|-14.6|10.4|S;P1 - 3:52|Blue|76561199349727090|shot|shot|245|38.19|0.7|-3.1|30.8|S;P2 - 0:52|Red|76561198143149955|shot|shot|96|30.3|0.8|12.6|16.5|G;P2 - 2:47|Red|76561198167026110|shot|shot|196|37.59|0.6|7.5|30.7|S;P2 - 3:36|Blue|76561198299335773|shot|shot|135|36.44|0.5|-14.2|28|S;P3 - 1:44|Blue|76561199349727090|shot|shot|135|9.3|1|-8|30.3|S;P3 - 3:38|Red|76561198143149955|shot|shot|117|29.6|0.2|-16.9|32.4|S;P3 - 3:47|Red|76561198167026110|shot|shot|257|38.35|0.8|5.2|34.2|S;P3 - 4:50|Blue|76561199349727090|shot|deke|311|28.75|0.7|-0.5|33.6|S,1,0
M2-G3,BRG,FOX,1,3,1.19,2.71,0,12,8,36,34,5,2,2,5,0,1,2,4,4,2,17,18,24,17,392,376,428.1240819999993,408.4822529999991,76561199349727090,P1 01:11|Blue|BOESER|Miku|Fly;P1 01:39|Blue|Fly|Midnight|BOESER;P2 09:37|Red|VanHiggy|placenta|FORD;P3 14:27|Blue|BOESER|Fly|Nakamura,P1 - 1:11|Blue|76561199088950776|shot|shot|614|24.61|0.1|0.8|37.5|G;P1 - 1:30|Blue|76561199088950776|shot|shot|168|34.9|0.4|-10.2|35.7|S;P1 - 1:39|Blue|76561199349727090|shot|shot|265|40.71|0.7|-4.3|32.7|G;P1 - 2:06|Blue|76561199349727090|shot|shot|104|12.88|0.4|12.3|25.9|S;P1 - 2:19|Blue|76561199349727090|shot|shot|216|8.94|0.1|-4.2|37.3|S;P1 - 2:30|Blue|76561199349727090|shot|shot|241|37.59|1.7|5.9|35.4|S;P2 - 0:14|Red|76561198143149955|shot|shot|163|30.19|1|9.8|31.9|S;P2 - 0:59|Blue|76561199088950776|shot|shot|187|36.74|1.5|-9|33.2|S;P2 - 1:08|Red|76561198243022268|shot|shot|67|28.33|0.1|-14.6|7.9|S;P2 - 1:27|Red|76561198167026110|shot|shot|136|34|0.2|12.9|27.3|S;P2 - 2:27|Red|76561198167026110|shot|shot|102|28.03|0.1|3.7|15.4|S;P2 - 4:09|Blue|76561198978362192|shot|shot|257|8.51|0.1|-2.3|34.5|S;P2 - 4:37|Red|76561198167026110|shot|deke|275|25.93|0.6|4|36.7|G;P2 - 4:46|Blue|76561199349727090|shot|shot|239|39.11|1.3|-2.1|29.8|S;P3 - 1:47|Blue|76561198978362192|shot|shot|143|20|0.1|10.1|32.3|S;P3 - 2:10|Blue|76561198366630907|shot|shot|94|37.87|0.1|17.4|16.5|S;P3 - 2:31|Red|76561198143149955|shot|shot|50|26.02|0.1|21.3|3.6|S;P3 - 3:21|Red|76561198167026110|shot|shot|292|24.71|0.6|-3.6|36.4|S;P3 - 4:08|Red|76561198143149955|shot|shot|103|37.76|2.8|-17.9|20.7|S;P3 - 4:27|Blue|76561199088950776|shot|wrap_bank|184|9.82|0.1|3.5|40.5|G,2,1
M3-G1,BB,PP,2,0,2.73,0.01,0,1,16,41,47,1,4,4,1,0,1,8,3,3,8,17,11,7,24,312,406,415.46588499999774,406.77025199999724,76561198401353673,P2 07:29|Red|hayden|BarDownBart|Nakesy;P3 13:54|Red|hayden|Blooma|Nakesy,P1 - 0:20|Blue|76561198072423953|shot|shot|7|3.58||9.5|-45.5|S;P1 - 1:17|Red|76561199030119453|shot|wrap_bank|126|9.9|0.1|-9.5|42.8|S;P1 - 1:31|Red|76561198401353673|shot|shot|130|38.21|0.9|16.8|35.1|S;P1 - 1:43|Red|76561198983591530|shot|shot|17|4.04|0.1|7.8|-23.3|S;P1 - 1:59|Red|76561198401353673|shot|shot|165|27.99|1|0.4|25.4|S;P1 - 3:22|Red|76561198401353673|shot|deke|341|40.36|0.1|-0.1|33.4|S;P1 - 3:28|Red|76561198401353673|shot|one_timer|151|15.83|0.2|0.3|26.4|S;P2 - 0:06|Red|76561198401353673|shot|shot|173|38.17|1.3|-6.9|26.3|S;P2 - 0:26|Red|76561199524714015|shot|shot|112|14.63|0.9|-13.6|33.7|S;P2 - 0:33|Red|76561198401353673|shot|shot|327|33.78|0.9|2.7|34.8|S;P2 - 2:26|Red|76561198268552083|shot|shot|138|40.18|2|-3.1|18.9|S;P2 - 2:28|Red|76561198401353673|shot|wrap_bank|196|9.76|0.1|-4.7|42.2|G;P2 - 4:42|Red|76561199030119453|shot|shot|228|33.37|0.5|-6|34.8|S;P3 - 0:55|Red|76561198401353673|shot|shot|94|9.19|0.1|3.2|19|S;P3 - 1:14|Red|76561199524714015|shot|shot|163|21.51|1.6|-8.4|33.9|S;P3 - 3:14|Red|76561198401353673|shot|shot|187|31.81|0.9|-8|32.7|S;P3 - 3:54|Red|76561198401353673|shot|shot|182|23.1|1.4|7.2|33.8|G,1,0
M3-G2,BB,PP,0,1,1.15,0.49,0,3,7,38,50,2,2,2,2,1,3,8,4,4,8,13,15,12,16,324,401,397.73829199999955,421.4083050000001,76561198319462482,P3 12:02|Blue|Chilliam|Invincible|milk,P1 - 3:15|Red|76561199030119453|shot|deke|226|30.88|1.4|3.8|39|S;P1 - 4:37|Blue|76561198074692393|shot|shot|16|5.98||-22.2|-21.4|S;P2 - 1:40|Red|76561198401353673|shot|deke|386|32.93|1.2|-2.8|37.2|S;P2 - 3:50|Red|76561199524714015|shot|shot|158|36.12|1.3|-5.4|23.9|S;P2 - 4:42|Red|76561199524714015|shot|shot|130|17.01|0.1|-10.2|29.5|S;P3 - 1:47|Red|76561198401353673|shot|shot|86|45.1|2.2|8.8|6.5|S;P3 - 2:02|Blue|76561198319462482|shot|deke|310|35.68|1.5|-2.2|33.6|G;P3 - 4:38|Blue|76561198072423953|shot|shot|164|34.06|0.6|10.6|35.2|S;P3 - 4:59|Red|76561199524714015|shot|shot|165|23.88|0.1|1.6|26.4|S,1,1
M3-G3,BB,PP,2,0,1.94,1.02,0,3,9,42,43,2,3,3,2,0,1,5,4,4,5,10,18,13,18,295,462,337.2616309999992,463.89984799999985,76561198401353673,P3 10:10|Red|hayden|Nakesy|;P3 14:31|Red|BarDownBart|Blooma|hayden,P1 - 2:20|Red|76561198401353673|shot|deke|229|8.5|0.4|-4|36.7|S;P1 - 2:55|Blue|76561198072423953|shot|shot|183|26.6|0.5|6.1|30.3|S;P1 - 3:16|Red|76561198401353673|shot|shot|336|34.86|0.2|1.4|34|S;P1 - 3:20|Red|76561199030119453|shot|shot|76|7.19|0.1|19.5|38.7|S;P2 - 0:09|Red|76561198401353673|shot|shot|219|36.24|0.9|6.7|35.7|S;P2 - 1:50|Red|76561198401353673|shot|shot|191|22.27|1.3|5|31.1|S;P2 - 2:49|Red|76561199030119453|shot|shot|261|17.66|2.3|-2.9|34.3|S;P2 - 4:40|Blue|76561198072423953|shot|one_timer|630|10.74|0.3|-1.5|38.6|S;P3 - 0:09|Red|76561198401353673|shot|shot|190|38.45|0.5|-6.4|28.2|G;P3 - 1:46|Red|76561198401353673|shot|deke|241|10.79|0.6|-2.3|33.7|S;P3 - 4:01|Blue|76561198353224230|shot|shot|211|39.57|1.2|-3.9|28.4|S;P3 - 4:31|Red|76561198268552083|shot|shot|197|34.53|0.9|3.9|28.2|G,2,1
M4-G1,MOFO,LBR,0,2,1.23,2.85,0,12,6,50,47,0,5,5,0,0,1,8,4,4,8,16,19,17,14,317,345,396.85395800000094,440.3412980000021,76561198146087733,P2 08:14|Blue|ALEJO|stinkyshawn|Bingus;P3 14:38|Blue|stinkyshawn|ALEJO|LePuckuer,P1 - 1:11|Red|76561199237272742|bat|shot|140|18.44|0.2|10.2|33.5|S;P1 - 1:34|Blue|76561198146087733|shot|shot|261|6.01|0.5|2.7|35.3|S;P1 - 2:40|Red|76561198099463628|shot|shot|280|33.71|1.1|-2.2|32.7|S;P1 - 4:16|Red|76561198099463628|shot|shot|13|7.69|0.1|-22.4|-27.8|S;P2 - 0:31|Red|76561199237272742|shot|shot|202|33.51|1.2|1.2|27.9|S;P2 - 2:27|Blue|76561198170165423|shot|shot|76|24.62|0.1|-19.5|16.9|S;P2 - 3:13|Blue|76561198068115505|shot|shot|101|17.15|0.1|13|24|S;P2 - 3:14|Blue|76561198146087733|shot|rebound|980|33.37|0.9|-0.6|39.6|G;P2 - 3:50|Blue|76561198073174004|shot|deke|294|29.43|0.9|3|34.4|S;P2 - 4:28|Blue|76561198073174004|shot|shot|152|32.88|0.1|10.7|28.9|S;P2 - 4:32|Blue|76561198146087733|shot|shot|293|8.58|0.1|2.3|35.6|S;P2 - 4:52|Blue|76561198146087733|shot|shot|130|39.58|1.3|-2.4|17.4|S;P3 - 2:27|Red|76561198099463628|shot|deke|312|31.09|0.7|3.6|37.1|S;P3 - 3:01|Blue|76561198068115505|shot|shot|179|6.4|0.1|3.8|31.9|S;P3 - 3:09|Blue|76561198073174004|shot|shot|99|30.52|0.6|18.9|24.5|S;P3 - 4:38|Blue|76561198068115505|shot|shot|289|33.86|1|1.5|32.7|G;P3 - 4:49|Red|76561198099463628|shot|deke|278|7.12|0.1|2.1|35.1|S,1,2
