match_id,team_id,player_name,steam_id,position,g,a,xG,shots,passes,exits,entries,hits,turnovers,takeaways,touches,poss_s,fow,fol,sa,ga,xGA,body_sv,stick_sv,w,so,toi_s,sp,blocks
M7-G2,RR,Marcus,76561199865143074,LW,1,0,1.26,5,8,2,6,0,1,2,91,69.3,0,0,,,,,,,,900,128,0
M7-G2,TOR,nickisntcool,76561199075874498,LW,1,0,0.5,2,13,7,6,0,0,0,93,88,0,0,,,,,,,,900,120.5,0
M7-G2,RR,SiddedOn,76561199749591762,RD,0,0,0.11,1,5,2,2,1,1,1,44,27.5,0,0,,,,,,,,900,26.5,0
M7-G2,TOR,v,76561198999789726,LD,0,1,0.34,2,12,5,3,1,1,1,82,70.4,0,0,,,,,,,,900,83,3
M7-G2,RR,Radioheadlover,76561199014254328,C,0,1,0.5,3,11,2,5,0,2,0,85,70.4,3,3,,,,,,,,900,69.5,0
M7-G2,RR,Pyros,76561198116230416,LD,0,1,0.33,2,6,2,4,0,0,0,60,35.2,0,0,,,,,,,,900,61,0
M7-G2,TOR,player,76561198180293369,C,1,1,0.22,1,7,4,6,1,2,0,119,100.1,3,3,,,,,,,,900,120,0
M7-G2,TOR,walker,76561198157694887,RD,0,1,0.51,3,15,3,2,0,0,3,63,49.5,0,0,,,,,,,,900,110,2
M7-G2,TOR,QUICK,76561198018657100,G,0,1,,0,3,1,0,0,0,0,10,4.4,0,0,11,1,2.2,1,9,1,0,900,138.5,0
M7-G2,RR,Zen,76561198248012002,G,0,0,,0,2,2,0,0,0,0,14,2.2,0,0,8,2,1.57,2,4,0,0,900,67,0
M1-G1,RR,Radioheadlover,76561199014254328,C,1,5,1.44,7,15,3,3,0,2,3,99,71,8,2,,,,,,,,900,306,0
M1-G1,CG67,carl,76561198095080755,LD,0,0,0.11,1,14,8,8,1,1,2,105,82.7,0,0,,,,,,,,900,73.5,1
