match_id,team_id,player_name,steam_id,position,g,a,xG,shots,passes,exits,entries,hits,turnovers,takeaways,touches,poss_s,fow,fol,sa,ga,xGA,body_sv,stick_sv,w,so,toi_s,sp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
M1-G1,TOR,grab,76561198180293369,C,0,1,0.95,6,14,4,8,0,1,3,132,112.4,3,3,,,,,,,,900,124.5,0,4,10,0,1,2,1
M1-G1,TOR,JohnPuck,76561198038209028,LW,1,0,0.90,6,6,1,1,1,0,2,54,36.7,0,0,,,,,,,,900,129.5,0,2,4,0,0,1,1
M1-G1,TOR,Danky,76561199659216812,RD,0,0,0.07,0,15,5,3,0,4,3,109,65.7,0,0,,,,,,,,900,48,0,10,5,1,3,2,1
M1-G1,BCL,moose,76561198127159353,C,2,0,1.52,4,7,3,12,0,6,2,146,104,3,3,,,,,,,,900,167.5,0,2,5,0,6,0,2
M1-G1,TOR,Bingus,76561198170165423,LD,0,1,0.05,1,17,12,4,0,1,3,58,49.2,0,0,,,,,,,,900,111,0,17,0,0,1,3,0
M1-G1,TOR,Bwall,76561198278689368,G,0,0,,0,2,0,0,0,1,0,13,3.6,0,0,9,2,1.74,3,4,0,0,900,75,0,2,0,1,0,0,0
M1-G1,BCL,Zen,76561198248012002,G,0,0,,0,4,0,0,0,2,0,17,7.3,0,0,13,1,1.73,5,7,1,0,900,130,0,4,0,2,0,0,0
M1-G1,BCL,spantch,76561198366299321,RW,0,2,0.29,3,13,3,2,0,2,1,57,46.9,0,0,,,,,,,,900,110,0,8,5,0,2,1,0
M1-G1,BCL,JB,76561198288926809,RD,0,0,0.17,1,16,7,4,0,1,3,113,74.5,0,0,,,,,,,,900,78.5,1,15,1,1,0,3,0
M1-G1,BCL,MissTheNetMarge,76561199355357311,LD,0,2,0.11,1,17,3,4,1,0,1,87,72.5,0,0,,,,,,,,900,124.5,0,16,1,0,0,1,0
M1-G2,TOR,grab,76561198180293369,C,3,2,1.25,9,12,6,9,1,3,3,159,145.6,6,3,,,,,,,,900,355,0,3,9,0,3,2,1
M1-G2,TOR,JohnPuck,76561198038209028,LW,1,4,1.42,7,14,4,5,1,0,0,94,67.8,0,0,,,,,,,,900,271.5,1,5,9,0,0,0,0
